expected_symbol,detected_symbol,frequency,impact
"]","7","3","MEDIUM"
"]",".","3","MEDIUM"
"[","c","3","MEDIUM"
"a",")","3","MEDIUM"
"a",".","3","MEDIUM"
",","]","3","MEDIUM"
"]","[","3","MEDIUM"
"o",".","3","MEDIUM"
"x","i","3","MEDIUM"
"c","0","3","MEDIUM"
"t","R","3","MEDIUM"
"n","R","3","MEDIUM"
"e","N","3","MEDIUM"
"r","O","3","MEDIUM"
"l","T","3","MEDIUM"
"r","L","3","MEDIUM"
"t","T","3","MEDIUM"
"=","e","3","MEDIUM"
"a","s","3","MEDIUM"
"s","u","3","MEDIUM"
"n","e","3","MEDIUM"
"e","s","3","MEDIUM"
"u","i","3","MEDIUM"
",","=","3","MEDIUM"
"o","n","3","MEDIUM"
"u","n","3","MEDIUM"
"b","t","3","MEDIUM"
"a","u","3","MEDIUM"
"t","e","3","MEDIUM"
"n",":","3","MEDIUM"
"4",".","2","LOW"
"3","2","2","LOW"
"-","0","2","LOW"
"5",".","2","LOW"
",","_","2","LOW"
"8","0","2","LOW"
"3",".","2","LOW"
".","(","2","LOW"
"1","2","2","LOW"
")",">","2","LOW"
"-","=","2","LOW"
"-","r","2","LOW"
"r",")","2","LOW"
"z","+","2","LOW"
"q","x","2","LOW"
"1","^","2","LOW"
"-","2","2","LOW"
"y","^","2","LOW"
"x",",","2","LOW"
"0","<","2","LOW"
"0","=","2","LOW"
")","0","2","LOW"
"b","a","2","LOW"
"a","C","2","LOW"
"l","+","2","LOW"
"2","y","2","LOW"
"4","-","2","LOW"
"x","4","2","LOW"
"+","X","2","LOW"
"y","+","2","LOW"
"0","x","2","LOW"
"q","\","2","LOW"
"4","X","2","LOW"
"t","X","2","LOW"
"=",";","2","LOW"
"3","x","2","LOW"
"4","=","2","LOW"
">","=","2","LOW"
"x","8","2","LOW"
"2","/","2","LOW"
"t","^","2","LOW"
"y","x","2","LOW"
"_","b","2","LOW"
"[","3","2","LOW"
"3","]","2","LOW"
"t",">","2","LOW"
"-","^","2","LOW"
"_","x","2","LOW"
"1","_","2","LOW"
"b","+","2","LOW"
"^","-","2","LOW"
"^","c","2","LOW"
"1","/","2","LOW"
"1","x","2","LOW"
"(","S","2","LOW"
"s","m","2","LOW"
"r","a","2","LOW"
"^","/","2","LOW"
"3","Y","2","LOW"
"r","1","2","LOW"
"n","^","2","LOW"
"y","2","2","LOW"
"2","3","2","LOW"
"a","^","2","LOW"
"p","x","2","LOW"
"i","M","2","LOW"
"0","4","2","LOW"
"i","1","2","LOW"
"m","=","2","LOW"
"^","1","2","LOW"
"3","*","2","LOW"
"i","-","2","LOW"
"m","C","2","LOW"
"(","e","2","LOW"
"e","^","2","LOW"
"_","1","2","LOW"
"=","_","2","LOW"
"1","a","2","LOW"
")","p","2","LOW"
"n","_","2","LOW"
"i","s","2","LOW"
"m","n","2","LOW"
"3","p","2","LOW"
"f","F","2","LOW"
"b","e","2","LOW"
"n","M","2","LOW"
"b","0","2","LOW"
"^","p","2","LOW"
"+","e","2","LOW"
"n","1","2","LOW"
"g","a","2","LOW"
"m","a","2","LOW"
"1","m","2","LOW"
"=","-","2","LOW"
")","e","2","LOW"
"=","i","2","LOW"
"t","8","2","LOW"
"d","0","2","LOW"
"e",")","2","LOW"
"2","n","2","LOW"
"i","5","2","LOW"
"a","+","2","LOW"
"b","=","2","LOW"
"c","1","2","LOW"
"s","X","2","LOW"
"c","+","2","LOW"
"c",")","2","LOW"
"2","s","2","LOW"
"t","n","2","LOW"
"s","2","2","LOW"
"/","p","2","LOW"
"a","r","2","LOW"
"'","(","2","LOW"
"_","o","2","LOW"
"0","^","2","LOW"
"f",")","2","LOW"
"i","0","2","LOW"
"i","f","2","LOW"
"f","n","2","LOW"
"x","m","2","LOW"
"n","r","2","LOW"
"c","a","2","LOW"
"o","p","2","LOW"
"p","r","2","LOW"
"r","i","2","LOW"
"t","o","2","LOW"
"i","x","2","LOW"
"_","e","2","LOW"
"x","a","2","LOW"
"_","k","2","LOW"
"k","=","2","LOW"
"t","_","2","LOW"
"(","t","2","LOW"
"m","i","2","LOW"
"(",".","2","LOW"
",","[","2","LOW"
"3",",","2","LOW"
",","4","2","LOW"
"o","h","2","LOW"
"i","+","2","LOW"
"5","7","2","LOW"
"1","3","2","LOW"
"]","2","2","LOW"
"^","s","2","LOW"
"e","i","2","LOW"
"a","j","2","LOW"
"s","a","2","LOW"
"s","p","2","LOW"
",","(","2","LOW"
"i",",","2","LOW"
",","t","2","LOW"
"[",";","2","LOW"
"[",",","2","LOW"
"[","]","2","LOW"
",","5","2","LOW"
"+","8","2","LOW"
"3","5","2","LOW"
"2","4","2","LOW"
")","9","2","LOW"
"^","*","2","LOW"
"/","0","2","LOW"
"2","*","2","LOW"
"l","-","2","LOW"
")","7","2","LOW"
"(","9","2","LOW"
"x","7","2","LOW"
"r","*","2","LOW"
":","*","2","LOW"
"-","+","2","LOW"
"^","7","2","LOW"
"2","9","2","LOW"
")",".","2","LOW"
"i","U","2","LOW"
"e","O","2","LOW"
"a","T","2","LOW"
"b","A","2","LOW"
"l","_","2","LOW"
"n","I","2","LOW"
"s","E","2","LOW"
"r","X","2","LOW"
"t","E","2","LOW"
"n","L","2","LOW"
"c","L","2","LOW"
"i","R","2","LOW"
"g","C","2","LOW"
"o","U","2","LOW"
"q","Q","2","LOW"
"l","G","2","LOW"
"e","L","2","LOW"
"a","Y","2","LOW"
"o","R","2","LOW"
"t","C","2","LOW"
"s","C","2","LOW"
"m","t","2","LOW"
"a","h","2","LOW"
"t","s","2","LOW"
"^","e","2","LOW"
"p",")","2","LOW"
"a","_","2","LOW"
"u","\","2","LOW"
"b","c","2","LOW"
"u","b","2","LOW"
"b","s","2","LOW"
"p","\","2","LOW"
":","i","2","LOW"
"t",",","2","LOW"
"2","z","1","LOW"
"3","8","1","LOW"
"4","1","1","LOW"
"1","4","1","LOW"
"5","1","1","LOW"
"9","5","1","LOW"
"6","0","1","LOW"
"+","6","1","LOW"
".","1","1","LOW"
"7","1","1","LOW"
"0","-","1","LOW"
".","0","1","LOW"
"7",".","1","LOW"
"%","5","1","LOW"
"4","2","1","LOW"
".","3","1","LOW"
"1","7","1","LOW"
"q","5","1","LOW"
"?","=","1","LOW"
"9","X","1","LOW"
"d","-","1","LOW"
"m","-","1","LOW"
"1","M","1","LOW"
"q","-","1","LOW"
"9","2","1","LOW"
"^","5","1","LOW"
"^","3","1","LOW"
")","J","1","LOW"
"<","x","1","LOW"
";","0","1","LOW"
">","x","1","LOW"
"=",">","1","LOW"
"+","m","1","LOW"
"c","b","1","LOW"
")","d","1","LOW"
"b",")","1","LOW"
"p","b","1","LOW"
"9","0","1","LOW"
"~","3","1","LOW"
"~","4","1","LOW"
"-",";","1","LOW"
"+","5","1","LOW"
"6","x","1","LOW"
"0","6","1","LOW"
"(","p","1","LOW"
"=","y","1","LOW"
"3","=","1","LOW"
"=","^","1","LOW"
"5","2","1","LOW"
"!","*","1","LOW"
"6","-","1","LOW"
"0","5","1","LOW"
"q","n","1","LOW"
"3","/","1","LOW"
"7","=","1","LOW"
";","4","1","LOW"
"5","=","1","LOW"
")","5","1","LOW"
"f","I","1","LOW"
"=","M","1","LOW"
"m","A","1","LOW"
"8","=","1","LOW"
"4","x","1","LOW"
"_","3","1","LOW"
"2","7","1","LOW"
"7",")","1","LOW"
"4","a","1","LOW"
"^","Y","1","LOW"
"2","Z","1","LOW"
"3","-","1","LOW"
"/","3","1","LOW"
"t","[","1","LOW"
"s","r","1","LOW"
"q","t","1","LOW"
"+","r","1","LOW"
"q","y","1","LOW"
"r",">","1","LOW"
"9","-","1","LOW"
"m","9","1","LOW"
"*","5","1","LOW"
"h","f","1","LOW"
"_","r","1","LOW"
"+",")","1","LOW"
"(","/","1","LOW"
"+","a","1","LOW"
"2","m","1","LOW"
"^","_","1","LOW"
"2","D","1","LOW"
"-","J","1","LOW"
"b","I","1","LOW"
"/","b","1","LOW"
"/",">","1","LOW"
"y","a","1","LOW"
"/","l","1","LOW"
"x","h","1","LOW"
"1","s","1","LOW"
"b","o","1","LOW"
"f","t","1","LOW"
")","G","1","LOW"
"/","a","1","LOW"
"q","m","1","LOW"
"y","X","1","LOW"
"/","^","1","LOW"
"1","'","1","LOW"
"r","^","1","LOW"
"-","Y","1","LOW"
"3","^","1","LOW"
"y","/","1","LOW"
"\","(","1","LOW"
"h",")","1","LOW"
"e","+","1","LOW"
"t","b","1","LOW"
"7","2","1","LOW"
"z","a","1","LOW"
"4","t","1","LOW"
"-","9","1","LOW"
"9",")","1","LOW"
"3","1","1","LOW"
"g","^","1","LOW"
"*","/","1","LOW"
"i","2","1","LOW"
"*",")","1","LOW"
"p","*","1","LOW"
"i","'","1","LOW"
"j","c","1","LOW"
"z","p","1","LOW"
"+","z","1","LOW"
"z","_","1","LOW"
")","z","1","LOW"
"j","C","1","LOW"
"(","O","1","LOW"
"z","\","1","LOW"
"_","c","1","LOW"
"+","j","1","LOW"
"o","z","1","LOW"
"j","1","1","LOW"
"_","C","1","LOW"
"2","O","1","LOW"
"j","z","1","LOW"
"1","I","1","LOW"
"g","c","1","LOW"
"+","g","1","LOW"
"_","y","1","LOW"
"f","Y","1","LOW"
"g","9","1","LOW"
"=","l","1","LOW"
"*","g","1","LOW"
"l","o","1","LOW"
"g","x","1","LOW"
"_",">","1","LOW"
"l","(","1","LOW"
"q","(","1","LOW"
"~","i","1","LOW"
"(","G","1","LOW"
".","m","1","LOW"
"c","\","1","LOW"
"e","m","1","LOW"
"l","t","1","LOW"
"(","h","1","LOW"
"2","c","1","LOW"
"-","l","1","LOW"
"f","i","1","LOW"
"n","y","1","LOW"
"i","/","1","LOW"
"g","*","1","LOW"
"d","3","1","LOW"
"+","c","1","LOW"
"c","8","1","LOW"
"1","\","1","LOW"
"8","a","1","LOW"
"0","l","1","LOW"
"e","h","1","LOW"
"p","o","1","LOW"
"o","-","1","LOW"
"(","o","1","LOW"
"i","\","1","LOW"
"s","=","1","LOW"
"n","S","1","LOW"
"-","p","1","LOW"
"^","4","1","LOW"
"3","S","1","LOW"
"1","C","1","LOW"
"+","O","1","LOW"
"o","2","1","LOW"
"2","p","1","LOW"
"s","(","1","LOW"
"e","X","1","LOW"
"h","\","1","LOW"
"e","!","1","LOW"
"1","o","1","LOW"
"+","_","1","LOW"
"t","2","1","LOW"
"1","h","1","LOW"
"x","e","1","LOW"
"c",";","1","LOW"
"s","o","1","LOW"
">","-","1","LOW"
"0","s","1","LOW"
"x","n","1","LOW"
"=","/","1","LOW"
"y","f","1","LOW"
"/","r","1","LOW"
"l","c","1","LOW"
"z","l","1","LOW"
")","i","1","LOW"
"p","e","1","LOW"
"(","y","1","LOW"
"d","(","1","LOW"
"i","r","1","LOW"
"_",",","1","LOW"
"r","Y","1","LOW"
"(","d","1","LOW"
"u","I","1","LOW"
"_","U","1","LOW"
"_","""","1","LOW"
"_","a","1","LOW"
">","n","1","LOW"
"y","1","1","LOW"
"+","/","1","LOW"
"^","h","1","LOW"
")","m","1","LOW"
"n","d","1","LOW"
"n","*","1","LOW"
"+","|","1","LOW"
"c","n","1","LOW"
"d","e","1","LOW"
"e","x","1","LOW"
"x","d","1","LOW"
"d","1","1","LOW"
"l","d","1","LOW"
"n","x","1","LOW"
"l","n","1","LOW"
"2","i","1","LOW"
"f","p","1","LOW"
"/","o","1","LOW"
"l","a","1","LOW"
"x","r","1","LOW"
"p","t","1","LOW"
"t","l","1","LOW"
"'","X","1","LOW"
")","f","1","LOW"
"f","X","1","LOW"
"'","=","1","LOW"
"x","Y","1","LOW"
"a","d","1","LOW"
"^","f","1","LOW"
"b","(","1","LOW"
"f","x","1","LOW"
"=","o","1","LOW"
"0","i","1","LOW"
"^","n","1","LOW"
"t","y","1","LOW"
"y","k","1","LOW"
"f","_","1","LOW"
"y","n","1","LOW"
"2","_","1","LOW"
"l","b","1","LOW"
"c","d","1","LOW"
"f","o","1","LOW"
"d","t","1","LOW"
"o","a","1","LOW"
"d","Y","1","LOW"
"3","X","1","LOW"
"-","s","1","LOW"
">","e","1","LOW"
"a","c","1","LOW"
"f","s","1","LOW"
"x","f","1","LOW"
")","l","1","LOW"
"a","/","1","LOW"
"/","-","1","LOW"
"u","s","1","LOW"
"d","c","1","LOW"
"1","k","1","LOW"
"n","m","1","LOW"
"k","!","1","LOW"
"^",";","1","LOW"
"d","^","1","LOW"
"y","*","1","LOW"
"[","a","1","LOW"
"=","[","1","LOW"
"1",",","1","LOW"
"2","]","1","LOW"
"4","]","1","LOW"
"[","6","1","LOW"
"v","o","1","LOW"
"v","=","1","LOW"
"3","i","1","LOW"
"4","j","1","LOW"
"[","C","1","LOW"
"[","0","1","LOW"
"]","x","1","LOW"
"[","x","1","LOW"
"[","4","1","LOW"
"]","=","1","LOW"
"[","5","1","LOW"
",","3","1","LOW"
"[","_","1","LOW"
"]","_","1","LOW"
"t","u","1","LOW"
"v","i","1","LOW"
"_","=","1","LOW"
"i","k","1","LOW"
"j","a","1","LOW"
"k","_","1","LOW"
"j","_","1","LOW"
"b","k","1","LOW"
"h","0","1","LOW"
"t","5","1","LOW"
"j","h","1","LOW"
"h","(","1","LOW"
"(","=","1","LOW"
"k","h","1","LOW"
"[",")","1","LOW"
"s","]","1","LOW"
"n","[","1","LOW"
"s",",","1","LOW"
"]","t","1","LOW"
"2",",","1","LOW"
";","2","1","LOW"
"4",",","1","LOW"
"x","C","1","LOW"
"]","X","1","LOW"
"y","[","1","LOW"
"]","Y","1","LOW"
"5","[","1","LOW"
"]","1","1","LOW"
"x","5","1","LOW"
"2","6","1","LOW"
"(","4","1","LOW"
"a","1","1","LOW"
"b",".","1","LOW"
"(","6","1","LOW"
"+","*","1","LOW"
"9","x","1","LOW"
"+","0","1","LOW"
"9",".","1","LOW"
"y","8","1","LOW"
"^","6","1","LOW"
"4","^","1","LOW"
"t","1","1","LOW"
"n","9","1","LOW"
"x","9","1","LOW"
"-",".","1","LOW"
"<","*","1","LOW"
";","+","1","LOW"
"f","0","1","LOW"
"l",".","1","LOW"
"o","1","1","LOW"
"s","y","1","LOW"
"t",".","1","LOW"
"e","5","1","LOW"
"r","7","1","LOW"
"s","-","1","LOW"
"q","0","1","LOW"
"r",".","1","LOW"
"o","7","1","LOW"
"_","5","1","LOW"
"i","4","1","LOW"
"n","4","1","LOW"
"-","5","1","LOW"
"x","6","1","LOW"
"^","8","1","LOW"
"+","3","1","LOW"
"e","*","1","LOW"
"g","4","1","LOW"
"n","6","1","LOW"
"s","0","1","LOW"
"h","9","1","LOW"
"r","y","1","LOW"
"+",".","1","LOW"
"o","3","1","LOW"
"s","*","1","LOW"
"t","3","1","LOW"
"o","*","1","LOW"
"s","x","1","LOW"
"-","8","1","LOW"
"1","6","1","LOW"
"+","-","1","LOW"
"n","0","1","LOW"
"/","7","1","LOW"
"a","y","1","LOW"
"e","3","1","LOW"
"g","6","1","LOW"
"d","i","1","LOW"
"2","5","1","LOW"
"p","S","1","LOW"
"o","Q","1","LOW"
"l","H","1","LOW"
"i","O","1","LOW"
"a","Z","1","LOW"
"b","O","1","LOW"
"r","H","1","LOW"
"y","R","1","LOW"
"b","Z","1","LOW"
"s","H","1","LOW"
"g","R","1","LOW"
"m","I","1","LOW"
"e","Z","1","LOW"
"n","O","1","LOW"
"t","N","1","LOW"
"i","L","1","LOW"
"p","C","1","LOW"
"p","R","1","LOW"
"e","D","1","LOW"
"d","N","1","LOW"
"i","A","1","LOW"
"c","T","1","LOW"
"u","E","1","LOW"
"l","E","1","LOW"
"i","S","1","LOW"
"r","S","1","LOW"
"i","Q","1","LOW"
"g","U","1","LOW"
"h","A","1","LOW"
"r","Q","1","LOW"
"g","A","1","LOW"
"a","R","1","LOW"
"r","A","1","LOW"
"i","E","1","LOW"
"s","Q","1","LOW"
"s","I","1","LOW"
"e","A","1","LOW"
"s","R","1","LOW"
"t","A","1","LOW"
"g","I","1","LOW"
"l","A","1","LOW"
"r","T","1","LOW"
"g","N","1","LOW"
"l","O","1","LOW"
"r","P","1","LOW"
"h","O","1","LOW"
"o","L","1","LOW"
"m","Y","1","LOW"
"b","G","1","LOW"
"u","O","1","LOW"
"s","N","1","LOW"
"t","P","1","LOW"
"a","L","1","LOW"
"p","Y","1","LOW"
"e","G","1","LOW"
"z","O","1","LOW"
"i","N","1","LOW"
"h","H","1","LOW"
"o","P","1","LOW"
"c","O","1","LOW"
"t","L","1","LOW"
"h","I","1","LOW"
"r","C","1","LOW"
"d","L","1","LOW"
"n","E","1","LOW"
"c","R","1","LOW"
"r","V","1","LOW"
"d","E","1","LOW"
"o","E","1","LOW"
"d","D","1","LOW"
"p","I","1","LOW"
"h","R","1","LOW"
"e","C","1","LOW"
"s","P","1","LOW"
"q","Y","1","LOW"
"u","R","1","LOW"
"r","M","1","LOW"
"p","D","1","LOW"
"r","U","1","LOW"
"i","B","1","LOW"
"h","C","1","LOW"
"m","R","1","LOW"
"i","C","1","LOW"
"s","L","1","LOW"
"p","E","1","LOW"
"f","C","1","LOW"
"u","N","1","LOW"
"l","C","1","LOW"
"a","U","1","LOW"
"r","I","1","LOW"
"i","G","1","LOW"
"a","H","1","LOW"
"n","T","1","LOW"
"g","_","1","LOW"
"e","R","1","LOW"
"3","I","1","LOW"
",","A","1","LOW"
"4","N","1","LOW"
",","G","1","LOW"
"5","L","1","LOW"
"m","p","1","LOW"
"n","g","1","LOW"
"e","g","1","LOW"
"m","l","1","LOW"
"n","h","1","LOW"
"v","c","1","LOW"
"c","e","1","LOW"
"e","=","1","LOW"
"=","s","1","LOW"
"u","m","1","LOW"
"-","e","1","LOW"
"q","a","1","LOW"
"r","=","1","LOW"
"v","n","1","LOW"
"r","h","1","LOW"
"u","*","1","LOW"
"n",",","1","LOW"
",","r","1","LOW"
"2","t","1","LOW"
"~","(","1","LOW"
"(","_","1","LOW"
"m","u","1","LOW"
"u",",","1","LOW"
",","S","1","LOW"
"i","g","1","LOW"
"m","^","1","LOW"
"(","<","1","LOW"
"<","5","1","LOW"
"=","U","1","LOW"
"s","M","1","LOW"
"u","X","1","LOW"
"v","a","1","LOW"
"o","=","1","LOW"
")","t","1","LOW"
")","c","1","LOW"
"m","c","1","LOW"
"x","p","1","LOW"
"_","M","1","LOW"
"r","p","1","LOW"
"2","\","1","LOW"
"/","c","1","LOW"
"n","p","1","LOW"
"-","\","1","LOW"
"1","c","1","LOW"
"v","l","1","LOW"
"(",",","1","LOW"
"(","g","1","LOW"
"g","s","1","LOW"
"a","g","1","LOW"
"h","=","1","LOW"
"b","d","1","LOW"
"b","5","1","LOW"
"=",",","1","LOW"
"5","6","1","LOW"
"i",":","1","LOW"
"r","9","1","LOW"
"m","0","1","LOW"
":",".","1","LOW"
"-",":","1","LOW"
":","0","1","LOW"
"4",":","1","LOW"
":","e","1","LOW"
"%","0","1","LOW"
"5",",","1","LOW"
"%","c","1","LOW"
"=","5","1","LOW"
"0",",","1","LOW"
"<",")","1","LOW"
"s","b","1","LOW"
"=","\","1","LOW"
"s","h","1","LOW"
"q","+","1","LOW"
"c","u","1","LOW"
"f","d","1","LOW"
"a","*","1","LOW"
"o","[","1","LOW"
"r","_","1","LOW"
"q","_","1","LOW"
"a","S","1","LOW"
"u","c","1","LOW"
"b","u","1","LOW"
"e","S","1","LOW"
"t","\","1","LOW"
"q","u","1","LOW"
"u","p","1","LOW"
"-",">","1","LOW"
"c","s","1","LOW"
":",">","1","LOW"
"=","h","1","LOW"
"e","r","1","LOW"
"t","=","1","LOW"
"=","p","1","LOW"
"e","\","1","LOW"
"e","p","1","LOW"
"b","h","1","LOW"
"e","M","1","LOW"
"n",";","1","LOW"
":",",","1","LOW"
"a",",","1","LOW"
