case_id,category,subcategory,difficulty,handwriting_profile,stroke_variant,canvas_region,expected_plain_text,expected_latex,raw_detected_output,normalized_detected_output,detected_latex,confidence,recognition_time_ms,exact_match,semantic_match,structure_match,layout_match,symbol_score,structure_score,spatial_score,overall_score,status,error_types,evidence_path,notes
"basic_arithmetic-019","BASIC_ARITHMETIC","repeated operators","MEDIUM","CLEAN_STUDENT","delayed-superscript","BOTTOM_CENTER","100-99+98-97","100-99+98-97","100-99+98-97","100-99+98-97","100-99+98-97","0.95945996","3295","true","true","true","true","1.0","1.0","1.0","0.9979729980230332","PASS","","rendered-inputs",""
"basic_arithmetic-020","BASIC_ARITHMETIC","nested parentheses","MEDIUM","FAST_CLASSROOM","fraction-bar-first","BOTTOM_RIGHT","2(3+4(5-2))","2(3+4(5-2))","2(3+4(5-2))","2(3+4(5-2))","2(3+4(5-2))","0.9221","3632","true","true","true","true","1.0","1.0","1.0","0.9961050003767015","PASS","","rendered-inputs",""
"basic_arithmetic-021","BASIC_ARITHMETIC","large number","MEDIUM","SMALL_COMPACT","fraction-bar-last","NEAR_BOUNDARY","9999+1","9999+1","9999+1","9999+1","9999+1","0.8961","2515","true","true","true","true","1.0","1.0","1.0","0.9948049992322923","PASS","","rendered-inputs",""
"basic_arithmetic-022","BASIC_ARITHMETIC","scientific arithmetic","MEDIUM","LARGE_BOARD","uneven-spacing","NEAR_TOOLBAR","6.02*10^23","6.02*10^23","6_.02*10^23","6_.02*10^23","6_.02*10^23","0.98786104","3621","false","false","true","true","0.9090909090909091","1.0","1.0","0.9380294154990804","PARTIAL","","failures/basic_arithmetic-022.png",""
"basic_arithmetic-023","BASIC_ARITHMETIC","zero division numerator","HARD","RIGHT_SLANTED","tilted-baseline","TOP_LEFT","0/7","0/7","0.17","0.17","0.17","0.87689614","2666","false","false","false","false","0.5","0.0","0.0","0.2575948071479797","WRONG_STRUCTURE","DIGIT_CONFUSION|FRACTION_MISREAD","failures/basic_arithmetic-023.png",""
"basic_arithmetic-024","BASIC_ARITHMETIC","decimal alignment","HARD","LEFT_SLANTED","overlap-and-correction","TOP_CENTER","7.0-0.07","7.0-0.07","7_.0-0_.07","7_.0-0_.07","7_.0-0_.07","0.95995367","3542","false","false","true","true","0.8","1.0","1.0","0.8929976832866668","PARTIAL","","failures/basic_arithmetic-024.png",""
"basic_arithmetic-025","BASIC_ARITHMETIC","operator associativity","HARD","UNEVEN_BASELINE","normal-order","TOP_RIGHT","1-2-3-4","1-2-3-4","1-2-3-4","1-2-3-4","1-2-3-4","0.9841","3464","true","true","true","true","1.0","1.0","1.0","0.9992049992084504","PASS","","rendered-inputs",""
"basic_arithmetic-026","BASIC_ARITHMETIC","repeated minus","HARD","VARIABLE_SPACING","reverse-symbol-strokes","CENTER_LEFT","2--3","2--3","2-3","2-3","2-3","0.80290616","2488","false","false","true","true","0.75","1.0","1.0","0.870145307779312","PARTIAL","","failures/basic_arithmetic-026.png",""
"basic_arithmetic-027","BASIC_ARITHMETIC","repeated division","HARD","HEAVY_PRESSURE","delayed-superscript","CENTER","8/4/2","8/4/2","8/4/2","8/4/2","8/4/2","0.9841","2888","true","true","true","true","1.0","1.0","1.0","0.9992049992084504","PASS","","rendered-inputs",""
"basic_arithmetic-028","BASIC_ARITHMETIC","adjacent groups","HARD","LIGHT_BROKEN","fraction-bar-first","CENTER_RIGHT","(1+2)(3+4)","(1+2)(3+4)","(1+2)(3+4)","(1+2)(3+4)","(1+2)(3+4)","0.93865997","3308","true","true","true","true","1.0","1.0","1.0","0.9969329982995988","PASS","","rendered-inputs",""
"basic_arithmetic-029","BASIC_ARITHMETIC","decimal percentage","HARD","ROUNDED","fraction-bar-last","BOTTOM_LEFT","12.5%","12.5%","12_.5","12_.5","12_.5","1.0","2574","false","false","true","true","0.6","1.0","1.0","0.835","WRONG_SYMBOL","","failures/basic_arithmetic-029.png",""
"basic_arithmetic-030","BASIC_ARITHMETIC","ratio equation","HARD","ANGULAR","uneven-spacing","BOTTOM_CENTER","5:7=10:14","5:7=10:14","5:7=10:14","5:7=10:14","5:7=10:14","0.9841","3150","true","true","true","true","1.0","1.0","1.0","0.9992049992084504","PASS","","rendered-inputs",""
"basic_arithmetic-031","BASIC_ARITHMETIC","thousands separators","HARD","CROWDED","tilted-baseline","BOTTOM_RIGHT","1,024+2,048","1,024+2,048","1_.024+2_.048","1_.024+2_.048","1_.024+2_.048","1.0","3326","false","false","true","true","0.6923076923076923","1.0","1.0","0.8626923076923076","WRONG_SYMBOL","","failures/basic_arithmetic-031.png",""
"basic_arithmetic-032","BASIC_ARITHMETIC","repeating decimal","HARD","WIDELY_SPACED","overlap-and-correction","NEAR_BOUNDARY","0.333...","0.333...","0_.333_(...)","0_.333_(...)","0_.333_(...)","1.0","3869","false","false","true","true","0.8","1.0","1.0","0.895","PARTIAL","","failures/basic_arithmetic-032.png",""
"basic_arithmetic-033","BASIC_ARITHMETIC","absolute number","HARD","OVERWRITTEN_CORRECTION","normal-order","NEAR_TOOLBAR","","","","","","","0","false","false","false","false","0.0","0.0","0.0","0.0","MANUAL_REVIEW_REQUIRED","","failures/basic_arithmetic-033.png","The automated stroke alphabet cannot represent this case faithfully; execute in manual Mode B."
"basic_arithmetic-034","BASIC_ARITHMETIC","factorial arithmetic","HARD","MIXED_CASE","reverse-symbol-strokes","TOP_LEFT","3!+4!","3!+4!","3!+4!","3!+4!","3!+4!","0.8961","3573","true","true","true","true","1.0","1.0","1.0","0.9948049992322923","PASS","","rendered-inputs",""
"basic_arithmetic-035","BASIC_ARITHMETIC","numeric power","EXTREME","UNUSUAL_STROKE_ORDER","delayed-superscript","TOP_CENTER","2^10","2^10","2^70","2^70","2^70","0.81668","4115","false","false","true","true","0.75","1.0","1.0","0.8708340007066725","PARTIAL","DIGIT_CONFUSION","failures/basic_arithmetic-035.png","Image pass unavailable; result uses digital ink and parser evidence."
"basic_arithmetic-036","BASIC_ARITHMETIC","numeric root","EXTREME","SLIGHTLY_SHAKY","fraction-bar-first","TOP_RIGHT","sqrt(144)","sqrt(144)","55+ \frac{5}{2}44","55+((5)/(2))44","55+ \frac{5}{2}44","0.6489037","4383","false","false","false","false","0.1428571428571429","0.0","0.0","0.09351661494800026","WRONG_STRUCTURE","DIGIT_CONFUSION|LETTER_CONFUSION|ROOT_SCOPE_ERROR","failures/basic_arithmetic-036.png","Low-confidence interpretation; choose an alternative or edit before insertion."
"basic_arithmetic-037","BASIC_ARITHMETIC","long sum","EXTREME","CLEAN_STUDENT","fraction-bar-last","CENTER_LEFT","1+2+3+4+5+6+7+8","1+2+3+4+5+6+7+8","1+2+3+4+5+6+7+8","1+2+3+4+5+6+7+8","1+2+3+4+5+6+7+8","1.0","5419","true","true","true","true","1.0","1.0","1.0","1.0","PASS","","rendered-inputs",""
"basic_arithmetic-038","BASIC_ARITHMETIC","deep grouping","EXTREME","FAST_CLASSROOM","uneven-spacing","CENTER","48/(3*(2+6))","48/(3*(2+6))","48/(3 \times(2+6))","48/(3*(2+6))","48/(3 \times(2+6))","0.8961","4103","true","true","true","true","1.0","1.0","1.0","0.9948049992322923","PASS","","rendered-inputs",""
"basic_arithmetic-039","BASIC_ARITHMETIC","missing operand","EXTREME","SMALL_COMPACT","tilted-baseline","CENTER_RIGHT","7+?=12","7+?=12","7+=12","7+=12","7+=12","1.0","2806","false","false","true","true","0.8333333333333334","1.0","1.0","0.90625","PARTIAL","","failures/basic_arithmetic-039.png",""
"basic_arithmetic-040","BASIC_ARITHMETIC","incorrect written equality","EXTREME","LARGE_BOARD","overlap-and-correction","BOTTOM_LEFT","9-4=6","9-4=6","9-4=6","9-4=6","9-4=6","0.99689996","2893","true","true","true","true","1.0","1.0","1.0","0.9998449981212617","PASS","","rendered-inputs",""
"algebraic_expressions-001","ALGEBRAIC_EXPRESSIONS","linear","EASY","CLEAN_STUDENT","normal-order","TOP_LEFT","3x+5","3x+5","3x+5","3x+5","3x+5","1.0","2721","true","true","true","true","1.0","1.0","1.0","1.0","PASS","","rendered-inputs",""
"algebraic_expressions-002","ALGEBRAIC_EXPRESSIONS","two variables","EASY","FAST_CLASSROOM","reverse-symbol-strokes","TOP_CENTER","7a-2b","7a-2b","7a-2b","7a-2b","7a-2b","0.8827707","2973","true","true","true","true","1.0","1.0","1.0","0.9941385358572007","PASS","","rendered-inputs",""
"algebraic_expressions-003","ALGEBRAIC_EXPRESSIONS","quadratic","EASY","SMALL_COMPACT","delayed-superscript","TOP_RIGHT","4x^2+3x-9","4x^2+3x-9","4X^{2}+3X-9","4X^(2)+3X-9","4X^{2}+3X-9","0.9311","3777","true","true","true","true","1.0","1.0","1.0","0.9965550005435945","PASS","","rendered-inputs",""
"algebraic_expressions-004","ALGEBRAIC_EXPRESSIONS","factorized","EASY","LARGE_BOARD","fraction-bar-first","CENTER_LEFT","(x+2)(x-5)","(x+2)(x-5)","(x+2)(x-5)","(x+2)(x-5)","(x+2)(x-5)","0.9481178","3446","true","true","true","true","1.0","1.0","1.0","0.9974058896303177","PASS","","rendered-inputs",""
"algebraic_expressions-005","ALGEBRAIC_EXPRESSIONS","distribution","EASY","RIGHT_SLANTED","fraction-bar-last","CENTER","a(b+c)-d","a(b+c)-d","a+b+c \geq-a","a+b+c>=-a","a+b+c \geq-a","0.82336235","3667","false","false","true","true","0.5555555555555556","1.0","1.0","0.8128347841898601","WRONG_SYMBOL","LETTER_CONFUSION","failures/algebraic_expressions-005.png",""
"algebraic_expressions-006","ALGEBRAIC_EXPRESSIONS","absolute value","EASY","LEFT_SLANTED","uneven-spacing","CENTER_RIGHT","","","","","","","0","false","false","false","false","0.0","0.0","0.0","0.0","MANUAL_REVIEW_REQUIRED","","failures/algebraic_expressions-006.png","The automated stroke alphabet cannot represent this case faithfully; execute in manual Mode B."
"algebraic_expressions-007","ALGEBRAIC_EXPRESSIONS","binomial power","EASY","UNEVEN_BASELINE","tilted-baseline","BOTTOM_LEFT","(x+y)^2","(x+y)^2","(x+y)^?","(x+y)^?","(x+y)^?","0.356","2957","false","false","true","true","0.8571428571428572","1.0","1.0","0.8842285717385155","PARTIAL","DIGIT_CONFUSION|LOW_CONFIDENCE","failures/algebraic_expressions-007.png",""
"algebraic_expressions-008","ALGEBRAIC_EXPRESSIONS","identity","EASY","VARIABLE_SPACING","overlap-and-correction","BOTTOM_CENTER","a^2-b^2=(a-b)(a+b)","a^2-b^2=(a-b)(a+b)","a^2-b^2=(a-b)(a+b)","a^2-b^2=(a-b)(a+b)","a^2-b^2=(a-b)(a+b)","0.9311","4983","true","true","true","true","1.0","1.0","1.0","0.9965550005435945","PASS","","rendered-inputs",""
"algebraic_expressions-009","ALGEBRAIC_EXPRESSIONS","nested brackets","EASY","HEAVY_PRESSURE","normal-order","BOTTOM_RIGHT","2[x-3(y+1)]","2[x-3(y+1)]","2[X-3(Y+1)]","2[X-3(Y+1)]","2[X-3(Y+1)]","0.8961","3875","true","true","true","true","1.0","1.0","1.0","0.9948049992322923","PASS","","rendered-inputs",""
"algebraic_expressions-010","ALGEBRAIC_EXPRESSIONS","implicit products","EASY","LIGHT_BROKEN","reverse-symbol-strokes","NEAR_BOUNDARY","xy+yz+zx","xy+yz+zx","XY+YZ+ZX","XY+YZ+ZX","XY+YZ+ZX","0.84677076","3026","true","true","true","true","1.0","1.0","1.0","0.992338538169861","PASS","","rendered-inputs",""
"algebraic_expressions-011","ALGEBRAIC_EXPRESSIONS","cubic","MEDIUM","ROUNDED","delayed-superscript","NEAR_TOOLBAR","5m^3-2m+1","5m^3-2m+1","5M^{3}-2M+1","5M^(3)-2M+1","5M^{3}-2M+1","0.9311","3730","true","true","true","true","1.0","1.0","1.0","0.9965550005435945","PASS","","rendered-inputs",""
"algebraic_expressions-012","ALGEBRAIC_EXPRESSIONS","letter ambiguity","MEDIUM","ANGULAR","fraction-bar-first","TOP_LEFT","p(q-r)+s","p(q-r)+s","p(-r)+s","p(-r)+s","p(-r)+s","0.8959505","3213","false","false","true","true","0.875","1.0","1.0","0.9188600248098373","PARTIAL","LETTER_CONFUSION","failures/algebraic_expressions-012.png",""
"algebraic_expressions-013","ALGEBRAIC_EXPRESSIONS","z versus two","MEDIUM","CROWDED","fraction-bar-last","TOP_CENTER","z^2+2z+1","z^2+2z+1","z^{2}+2z+1","z^(2)+2z+1","z^{2}+2z+1","0.9311","3651","true","true","true","true","1.0","1.0","1.0","0.9965550005435945","PASS","","rendered-inputs",""
"algebraic_expressions-014","ALGEBRAIC_EXPRESSIONS","l versus one","MEDIUM","WIDELY_SPACED","uneven-spacing","TOP_RIGHT","l^2+1","l^2+1","1^2+1","1^2+1","1^2+1","0.91104615","2890","false","false","true","true","0.8","1.0","1.0","0.8905523073673248","PARTIAL","DIGIT_CONFUSION|LETTER_CONFUSION","failures/algebraic_expressions-014.png",""
"algebraic_expressions-015","ALGEBRAIC_EXPRESSIONS","b versus six","MEDIUM","OVERWRITTEN_CORRECTION","tilted-baseline","CENTER_LEFT","b^2-6b+9","b^2-6b+9","b^2-6b+9","b^2-6b+9","b^2-6b+9","0.8809886","3508","true","true","true","true","1.0","1.0","1.0","0.9940494298934938","PASS","","rendered-inputs",""
"algebraic_expressions-016","ALGEBRAIC_EXPRESSIONS","q versus nine","MEDIUM","MIXED_CASE","overlap-and-correction","CENTER","q^2-9q","q^2-9q","x^2-2x","x^2-2x","x^2-2x","0.7423849","3233","false","false","true","true","0.5","1.0","1.0","0.7921192455291747","WRONG_SYMBOL","DIGIT_CONFUSION|LETTER_CONFUSION","failures/algebraic_expressions-016.png",""
"algebraic_expressions-017","ALGEBRAIC_EXPRESSIONS","S versus five","MEDIUM","UNUSUAL_STROKE_ORDER","normal-order","CENTER_RIGHT","S_5+5S","S_5+5S","5+5","5+5","5+5","0.9221","2650","false","false","false","false","0.5","0.0","0.0","0.25985500037670134","WRONG_STRUCTURE","LETTER_CONFUSION|SUBSCRIPT_MISSED","failures/algebraic_expressions-017.png",""
"algebraic_expressions-018","ALGEBRAIC_EXPRESSIONS","x multiplication ambiguity","MEDIUM","SLIGHTLY_SHAKY","reverse-symbol-strokes","BOTTOM_LEFT","x*x+x","x*x+x","X \times X+X","X*X+X","X \times X+X","0.8961","3522","true","true","true","true","1.0","1.0","1.0","0.9948049992322923","PASS","LETTER_CONFUSION","rendered-inputs",""
"algebraic_expressions-019","ALGEBRAIC_EXPRESSIONS","nested parentheses","MEDIUM","CLEAN_STUDENT","delayed-superscript","BOTTOM_CENTER","(a+(b-c))^2","(a+(b-c))^2","(O+(D-C))^?","(O+(D-C))^?","(O+(D-C))^?","0.587","3868","false","false","true","true","0.7272727272727273","1.0","1.0","0.8525318188017066","WRONG_SYMBOL","DIGIT_CONFUSION|LETTER_CONFUSION","failures/algebraic_expressions-019.png","Low-confidence interpretation; choose an alternative or edit before insertion."
"algebraic_expressions-020","ALGEBRAIC_EXPRESSIONS","quartic","MEDIUM","FAST_CLASSROOM","fraction-bar-first","BOTTOM_RIGHT","x^4-5x^2+4","x^4-5x^2+4","x^{4}-5x^{2}+4","x^(4)-5x^(2)+4","x^{4}-5x^{2}+4","0.9165908","4677","true","true","true","true","1.0","1.0","1.0","0.9958295404911042","PASS","","rendered-inputs",""
"algebraic_expressions-021","ALGEBRAIC_EXPRESSIONS","powered factor","MEDIUM","SMALL_COMPACT","fraction-bar-last","NEAR_BOUNDARY","(2x-3)^3","(2x-3)^3","(2X-3)^3","(2X-3)^3","(2X-3)^3","0.8902363","3850","true","true","true","true","1.0","1.0","1.0","0.994511815905571","PASS","","rendered-inputs",""
"algebraic_expressions-022","ALGEBRAIC_EXPRESSIONS","negative powers","MEDIUM","LARGE_BOARD","uneven-spacing","NEAR_TOOLBAR","x^{-2}+x^{-1}","x^{-2}+x^{-1}","X^{-2}+X^{-1}","X^(-2)+X^(-1)","X^{-2}+X^{-1}","0.9184618","3663","true","true","true","true","1.0","1.0","1.0","0.9959230899810791","PASS","","rendered-inputs",""
"algebraic_expressions-023","ALGEBRAIC_EXPRESSIONS","symbolic power","HARD","RIGHT_SLANTED","tilted-baseline","TOP_LEFT","a^{m+n}","a^{m+n}","a^{n+n}","a^(n+n)","a^{n+n}","0.8734875","3193","false","false","true","true","0.8","1.0","1.0","0.888674373626709","PARTIAL","LETTER_CONFUSION","failures/algebraic_expressions-023.png",""
"algebraic_expressions-024","ALGEBRAIC_EXPRESSIONS","indexed terms","HARD","LEFT_SLANTED","overlap-and-correction","TOP_CENTER","x_1+x_2+x_3","x_1+x_2+x_3","X_{1}+X_{2}+X_{3}","X_1+X_2+X_3","X_{1}+X_{2}+X_{3}","0.8961","4929","true","true","true","true","1.0","1.0","1.0","0.9948049992322923","PASS","","rendered-inputs",""
"algebraic_expressions-025","ALGEBRAIC_EXPRESSIONS","sequence","HARD","UNEVEN_BASELINE","normal-order","TOP_RIGHT","a_n=a_1+(n-1)d","a_n=a_1+(n-1)d","a_n=a_{1}+(n-1)a","a_n=a_1+(n-1)a","a_n=a_{1}+(n-1)a","0.8394914","4339","false","false","true","true","0.9285714285714286","1.0","1.0","0.9389388570615222","PARTIAL","LETTER_CONFUSION","failures/algebraic_expressions-025.png",""
"algebraic_expressions-026","ALGEBRAIC_EXPRESSIONS","mixed powers","HARD","VARIABLE_SPACING","reverse-symbol-strokes","CENTER_LEFT","2xy^2-3x^2y","2xy^2-3x^2y","2XY^{2}-3X^{2}Y","2XY^(2)-3X^(2)Y","2XY^{2}-3X^{2}Y","0.9101673","4087","true","true","true","true","1.0","1.0","1.0","0.9955083638429643","PASS","","rendered-inputs",""
"algebraic_expressions-027","ALGEBRAIC_EXPRESSIONS","rational identity","HARD","HEAVY_PRESSURE","delayed-superscript","CENTER","(x^2-y^2)/(x+y)","(x^2-y^2)/(x+y)","(x^2-y^2)/(X+Y)","(x^2-y^2)/(X+Y)","(x^2-y^2)/(X+Y)","0.31936","4030","true","true","true","true","1.0","1.0","1.0","0.9659679993987084","PASS","LOW_CONFIDENCE","rendered-inputs",""
"algebraic_expressions-028","ALGEBRAIC_EXPRESSIONS","named functions","HARD","LIGHT_BROKEN","fraction-bar-first","CENTER_RIGHT","max(a,b)-min(a,b)","max(a,b)-min(a,b)","Maxco,b)-Minco,DJ","Maxco,b)-Minco,DJ","Maxco,b)-Minco,DJ","0.4854","3616","false","false","true","true","0.6470588235294117","1.0","1.0","0.8233876466225175","WRONG_SYMBOL","LETTER_CONFUSION|LOW_CONFIDENCE","failures/algebraic_expressions-028.png","Low-confidence interpretation; choose an alternative or edit before insertion."
"algebraic_expressions-029","ALGEBRAIC_EXPRESSIONS","piecewise","HARD","ROUNDED","fraction-bar-last","BOTTOM_LEFT","{x+1,x<0;x^2,x>=0}","{x+1,x<0;x^2,x>=0}","\left \{ x+1,x<0;x^2,x>=0 \right \}","\(x+1,x<0;x^2,x>=0\)","\left \{ x+1,x<0;x^2,x>=0 \right \}","0.88963985","5992","false","false","true","true","0.9","1.0","1.0","0.9292319927215577","PARTIAL","LETTER_CONFUSION","failures/algebraic_expressions-029.png",""
"algebraic_expressions-030","ALGEBRAIC_EXPRESSIONS","nested absolute","HARD","ANGULAR","uneven-spacing","BOTTOM_CENTER","","","","","","","0","false","false","false","false","0.0","0.0","0.0","0.0","MANUAL_REVIEW_REQUIRED","","failures/algebraic_expressions-030.png","The automated stroke alphabet cannot represent this case faithfully; execute in manual Mode B."
"algebraic_expressions-031","ALGEBRAIC_EXPRESSIONS","fractional base power","HARD","CROWDED","tilted-baseline","BOTTOM_RIGHT","(a/b)^n","(a/b)^n","(a/b)^{n}","(a/b)^(n)","(a/b)^{n}","0.8736372","3021","true","true","true","true","1.0","1.0","1.0","0.9936818599700928","PASS","","rendered-inputs",""
"algebraic_expressions-032","ALGEBRAIC_EXPRESSIONS","nested rational","HARD","WIDELY_SPACED","overlap-and-correction","NEAR_BOUNDARY","(x+1/x)^2","(x+1/x)^2","(x+1/x)^{2}","(x+1/x)^(2)","(x+1/x)^{2}","0.9311","3436","true","true","true","true","1.0","1.0","1.0","0.9965550005435945","PASS","","rendered-inputs",""
"algebraic_expressions-033","ALGEBRAIC_EXPRESSIONS","mixed case","HARD","OVERWRITTEN_CORRECTION","normal-order","NEAR_TOOLBAR","A(B+C)-AB","A(B+C)-AB","( \lambda C)-","(lambdaC)-","( \lambda C)-","0.69443446","2695","false","false","true","true","0.30000000000000004","1.0","1.0","0.7297217231988907","WRONG_SYMBOL","LETTER_CONFUSION","failures/algebraic_expressions-033.png",""
"algebraic_expressions-034","ALGEBRAIC_EXPRESSIONS","Greek names","HARD","MIXED_CASE","reverse-symbol-strokes","TOP_LEFT","alpha*x+beta","alpha*x+beta","a+b","a+b","a+b","0.6484669","2615","false","false","true","true","0.25","1.0","1.0","0.7124233442544936","WRONG_SYMBOL","LETTER_CONFUSION","failures/algebraic_expressions-034.png","Low-confidence interpretation; choose an alternative or edit before insertion."
"algebraic_expressions-035","ALGEBRAIC_EXPRESSIONS","wide spacing","EXTREME","UNUSUAL_STROKE_ORDER","delayed-superscript","TOP_CENTER","x^2 +  y^2","x^2 +  y^2","x^2+y^2","x^2+y^2","x^2+y^2","0.4192","3389","true","true","true","true","1.0","1.0","1.0","0.9709600001573563","PASS","LOW_CONFIDENCE","rendered-inputs",""
"algebraic_expressions-036","ALGEBRAIC_EXPRESSIONS","crowded terms","EXTREME","SLIGHTLY_SHAKY","fraction-bar-first","TOP_RIGHT","x^2+y^2+2xy","x^2+y^2+2xy","x^{2}+y^{2}+2xy","x^(2)+y^(2)+2xy","x^{2}+y^{2}+2xy","0.8830568","4187","true","true","true","true","1.0","1.0","1.0","0.9941528409719468","PASS","","rendered-inputs",""
